"视频BV号","视频标题"
"BV1J5411V7or","《原神》新角色「公子」预告PV-「百无禁忌」"
"BV1sa4y1s7V8","《原神》「从驻足到远行」景区联动纪录片-黄龙篇"
"BV18Z4y1V7rB","《原神》1.1版本前瞻直播录像"
"BV1ff4y1B7Wb","《原神》1.1版本PV：「迫近的客星」"
"BV17t4y1i7Hm","《原神》拾枝杂谈-「可莉：蹦蹦炸弹」"
"BV18D4y1d7Uz","《原神》角色演示-「可莉：哒哒哒」"
"BV1o5411j7hR","《原神》声优小剧场——「蒙德茶会」第二期"
"BV1wa4y1L7BW","《原神》可莉角色PV-「太阳逃跑的夜晚」"
"BV1sA41177rm","《原神》拾枝杂谈-「刻晴：天街巡游」"
"BV1iv411y7EC","《原神》拾枝杂谈-「莫娜：星命定轨」"
"BV1Ep4y1Y7Cd","《原神》拾枝杂谈-「七七：度厄真符」"
"BV1cy4y1C7pq","《原神》拾枝杂谈-「琴：引领之风」"
"BV1RD4y1R7iZ","《原神》拾枝杂谈-「迪卢克：黎明」"
"BV1B54y117Wn","《原神》「从驻足到远行」景区联动纪录片-张家界篇"
"BV1BZ4y1N7Rd","《原神》拾枝杂谈-「温迪：高天之歌」"
"BV1At4y1q7UQ","《原神·提瓦特篇》主线章节预告PV-「足迹」"
"BV1pk4y1172e","原神 – 公测1.0实机画面预告片| 东京电玩展2020"
"BV1st4y1q7V4","《原神》角色演示-「温迪：诗人的工作」"
"BV1xk4y117tg","《原神》温迪角色PV-「四方之风」"
"BV1764y1F71Y","《原神》主题PV- 「珍珠之歌」"
"BV1JV411m7tc","《原神》剧情PV-「微风与少年」"
"BV1Dt4y1i76t","《原神》全新角色演示-「刻晴：七星之玉衡」"
"BV1Mf4y1D7pN","《原神》全新角色演示-「莫娜：命运与生活」"
"BV13a4y1E7AS","《原神》全新角色演示-「七七：冰寒流转」"
"BV1it4y1S7sF","《原神》「从驻足到远行」景区联动预告"
"BV1fy4y1C7gU","《原神》璃月音乐录制实拍视频"
"BV1PK4y1a7oC","《原神》剧情预告：我们终将重逢"
"BV16A411Y7Vy","《原神》声优小剧场——「蒙德茶会」第一期"
"BV1zZ4y1M7Qr","原神–实机画面预告片|PlayStation 4"
"BV145411Y7Mj","《原神》音乐动态视频-「蒙德一日」"
"BV1eA411v78z","旅人的韵律——《原神》游戏音乐的幕后"
"BV12A41187WG","《原神》海灯节活动实时过场动画-「汇成明霄」"
"BV1Pz411b7cB","《原神》全新角色演示-「菲谢尔：幽夜之光」"
"BV1tp411A7xb","《原神》全新角色预告-「菲谢尔还不能输」"
"BV1D7411d7MJ","《原神》全新开场动画-「空中荧火」"
"BV1iE411L7LJ","《原神》「再临测试」前瞻，与安柏一同尽情观赏璃月风光！"
"BV1MJ411H77i","《原神》新地区预告-「浮世浮生千岩间」"
"BV1SJ411t7kb","《原神》全新角色预告-「天星不照之处」"
"BV1k4411f7LY","《原神》跟着安柏一起探索提瓦特大陆吧！"
"BV1P4411T73c","《原神》序章PV：捕风的异乡人"
